utc,filter,pm,lat,lon,device
1405626652,10,0.008,37.802772,-122.297050,A
1405626653,10,0.008,37.802772,-122.297050,A
1405626654,10,0.009,37.802763,-122.297045,A
1405626655,10,0.007,37.802767,-122.297052,A
1405626656,10,0.006,37.802770,-122.297065,A
1405626657,10,0.008,37.802783,-122.297065,A
1405626658,10,0.008,37.802785,-122.297065,A
1405626659,10,0.007,37.802785,-122.297060,A
1405626660,10,0.008,37.802795,-122.297065,A
1405626661,10,0.007,37.802800,-122.297078,A
1405626662,10,0.006,37.802810,-122.297080,A
1405626663,10,0.006,37.802807,-122.297080,A
1405626664,10,0.007,37.802803,-122.297070,A
1405626665,10,0.007,37.802798,-122.297063,A
1405626666,10,0.008,37.802792,-122.297055,A
1405626667,10,0.008,37.802802,-122.297062,A
1405626668,10,0.008,37.802803,-122.297055,A
1405626669,10,0.008,37.802800,-122.297045,A
1405626670,10,0.007,37.802785,-122.297018,A
1405626671,10,0.008,37.802787,-122.297012,A
1405626672,10,0.007,37.802802,-122.297002,A
1405626673,10,0.007,37.802802,-122.296992,A
1405626674,10,0.006,37.802798,-122.296983,A
1405626675,10,0.006,37.802762,-122.296947,A
1405626676,10,0.006,37.802763,-122.296945,A
1405626677,10,0.006,37.802753,-122.296960,A
1405626678,10,0.006,37.802753,-122.296960,A
1405626679,10,0.007,37.802777,-122.296967,A
1405626680,10,0.006,37.802780,-122.296963,A
